n, Time(ns)
95300,27152
95400,27504
95500,27504
95600,27504
95700,27504
95800,27504
95900,27504
96000,78281
96100,27857
96200,27857
96300,27857
96400,27857
96500,27856
96600,27856
96700,27856
96800,28209
96900,27857
97000,27857
97100,27857
97200,27856
97300,28210
97400,27856
97500,31735
97600,28210
97700,28210
97800,28209
97900,28209
98000,28209
98100,28209
98200,28209
98300,28210
98400,28562
98500,28562
98600,28209
98700,28209
98800,28562
98900,28209
99000,28562
99100,28562
99200,28562
99300,28562
99400,28562
99500,28562
99600,28562
99700,28914
99800,28562
99900,28562
