n, Time(ns)
84600,65936515
84700,65894906
84800,65908659
84900,66072625
85000,66267975
85100,66582157
85200,66547600
85300,66658674
85400,67001771
85500,67007764
85600,72297016
85700,69166485
85800,68038111
85900,67661164
86000,67881902
86100,68204546
86200,68283532
86300,68940105
86400,68516964
86500,68683047
86600,68907312
86700,69385107
86800,70210936
86900,69653096
87000,69448578
87100,70784995
87200,69897812
87300,69910858
87400,70095982
87500,70725756
87600,70495497
87700,70688026
87800,70667574
87900,70803332
88000,71152070
88100,71598483
88200,72005403
88300,71497281
88400,71778317
88500,73816089
88600,73319958
88700,72253997
88800,72189468
88900,72422901
89000,72792443
89100,72843925
89200,73090756
89300,73173974
89400,73157753
89500,73367208
89600,73715946
89700,73706425
89800,104449319
89900,74342546
90000,74979020
90100,74424000
90200,76651481
90300,74770270
90400,74828452
90500,75387702
90600,75565774
90700,75302722
90800,75413443
90900,77318984
91000,75979393
91100,76154996
91200,79658949
91300,77551006
91400,76619040
91500,77095778
91600,77075326
91700,77112351
91800,77132097
91900,77489651
92000,77781617
92100,78464636
92200,78186774
92300,78114840
92400,78195943
92500,80248172
92600,78973109
92700,79110982
92800,79438916
92900,79442795
93000,79244625
93100,79427632
93200,79456900
93300,79667412
93400,80571521
93500,80308470
93600,80323632
93700,107541767
93800,80670254
93900,80700226
94000,80924491
94100,81039444
94200,81200590
94300,81374077
94400,81544391
94500,81713294
94600,81930859
94700,82179806
94800,82158297
94900,84854405
95000,82798649
95100,82827210
95200,83003519
95300,83240125
95400,83260224
95500,83443938
95600,83624125
95700,83728852
95800,85227473
95900,84271882
96000,84312080
96100,86337158
96200,84893545
96300,85103352
96400,85041996
96500,85207726
96600,85277545
96700,85616057
96800,85879814
96900,86104431
97000,88271967
97100,86411207
97200,86491957
97300,87175328
97400,87025818
97500,86862557
97600,87197542
97700,87410171
97800,87544165
97900,87859758
98000,91545661
98100,88991658
98200,88392561
98300,88597431
98400,91004041
98500,89373541
98600,89042786
98700,89067822
98800,89291734
98900,89398929
99000,89731447
99100,89838290
99200,90100989
99300,90882036
99400,90467711
99500,100871668
99600,91510398
99700,91000867
99800,90994520
99900,91277319
